referenceProduitPartenaire;ean;title;description;category;brand;price;currency;stock;weightKg;imageUrl;status;isFeatured;isBestSeller;isFlashSale
REAL-PROD-001;0000000000001;APPLE IPHONE 14 128GB - Édition 1;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;36700;FCFA;16;0.95;https://picsum.photos/seed/iphone14-1/900/900;ACTIVE;False;False;False
REAL-PROD-002;0000000000002;APPLE IPHONE 14 128GB - Édition 2;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;38400;FCFA;17;1.2;https://picsum.photos/seed/iphone14-2/900/900;ACTIVE;False;False;False
REAL-PROD-003;0000000000003;APPLE IPHONE 14 128GB - Édition 3;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;40100;FCFA;18;1.45;https://picsum.photos/seed/iphone14-3/900/900;ACTIVE;False;False;False
REAL-PROD-004;0000000000004;APPLE IPHONE 14 128GB - Édition 4;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;41800;FCFA;19;1.7;https://picsum.photos/seed/iphone14-4/900/900;ACTIVE;False;True;False
REAL-PROD-005;0000000000005;APPLE IPHONE 14 128GB - Édition 5;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;43500;FCFA;20;1.95;https://picsum.photos/seed/iphone14-5/900/900;ACTIVE;False;False;False
REAL-PROD-006;0000000000006;SAMSUNG GALAXY S23 - Édition 1;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;45200;FCFA;21;0.7;https://picsum.photos/seed/galaxy-s23-1/900/900;ACTIVE;True;False;False
REAL-PROD-007;0000000000007;SAMSUNG GALAXY S23 - Édition 2;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;46900;FCFA;22;0.95;https://picsum.photos/seed/galaxy-s23-2/900/900;ACTIVE;False;False;False
REAL-PROD-008;0000000000008;SAMSUNG GALAXY S23 - Édition 3;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;48600;FCFA;23;1.2;https://picsum.photos/seed/galaxy-s23-3/900/900;ACTIVE;False;True;False
REAL-PROD-009;0000000000009;SAMSUNG GALAXY S23 - Édition 4;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;50300;FCFA;24;1.45;https://picsum.photos/seed/galaxy-s23-4/900/900;ACTIVE;False;False;False
REAL-PROD-010;0000000000010;SAMSUNG GALAXY S23 - Édition 5;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;52000;FCFA;25;1.7;https://picsum.photos/seed/galaxy-s23-5/900/900;ACTIVE;False;False;True
